CLONENAME	GENEID	NAME	TARGETGENBANK	TARGETSEQID	VECTORNAME	GROWTH	SPECIES	CONTAINERLABEL	S.POSITIONX||S.POSITIONY
HsCD00038642	5756	PTK9	NM_002822	4506274	pJP1563	test	Homo sapiens	HsxXG002548	F09
HsCD00038405	10110	SGK2	NM_016276	7706698	pJP1563	test	Homo sapiens	HsxXG002548	G09
HsCD00038406	1020	CDK5	NM_004935	4826674	pJP1563	test	Homo sapiens	HsxXG002548	H09
HsCD00038407	1452	CSNK1A1	NM_001892	4503088	pJP1563	test	Homo sapiens	HsxXG002548	A10
HsCD00038408	1459	CSNK2A2	NM_001896	4503096	pJP1563	test	Homo sapiens	HsxXG002548	B10
HsCD00038409	6880	TAF9	NM_003187	4507350	pJP1563	test	Homo sapiens	HsxXG002548	C10
HsCD00038410	1025	CDK9	NM_001261	4502746	pJP1563	test	Homo sapiens	HsxXG002548	D10
HsCD00038643	9212	STK12	NM_004217	4759177	pJP1563	test	Homo sapiens	HsxXG002548	E10
HsCD00038411	3932	LCK	NM_005356	4885448	pJP1563	test	Homo sapiens	HsxXG002548	F10
HsCD00038644	5603	MAPK13	BC001641	12804466	pJP1563	test	Homo sapiens	HsxXG002548	G10
HsCD00039193	1455	CSNK1G2	BC020972	18088089	pJP1563	test	Homo sapiens	HsxXG002548	H10
HsCD00038412	2011	MARK2	BC008771	14250621	pJP1563	test	Homo sapiens	HsxXG002548	A11
HsCD00038413	51347	JIK	BC002756	12803830	pJP1563	test	Homo sapiens	HsxXG002548	B11
HsCD00038414	1111	CHEK1	BC004202	13278881	pJP1563	test	Homo sapiens	HsxXG002548	C11
HsCD00038645	1019	CDK4	BC005864	13543414	pJP1563	test	Homo sapiens	HsxXG002548	D11
HsCD00038415	1017	CDK2	M68520	180177	pJP1563	test	Homo sapiens	HsxXG002548	E11
HsCD00038416	3055	HCK	M16591	183911	pJP1563	test	Homo sapiens	HsxXG002548	F11
HsCD00038417	5601	MAPK9	NM_139069	21237741	pJP1563	test	Homo sapiens	HsxXG002548	G11
HsCD00039184	5894	RAF1	X03484	35841	pJP1563	test	Homo sapiens	HsxXG002548	H11
